,city,URL,title,date,time,venue,details,user,tags
139,Seattle,N/A,N/A,N/A,N/A,N/A,rt @seattledsalabor: join seattle dsa for an in-person workshop that will teach you the skills you need to organize your workplace on satur…,Twitter User @sonofbadru,[]
140,Seattle,N/A,N/A,N/A,N/A,N/A,rt @pugetsupport: a weekend of letter writing and card making coming up at @pipsqueak206. saturday dec 3rd with beyond the walls and black…,Twitter User @nursenette69,[]
141,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @vanster2000: a @xflseadragons fan in seattle has purchased his own mascot suit.
he has now made appearances at 2 team sponsored events.…",Twitter User @brett_tierce,[]
142,Seattle,N/A,N/A,N/A,N/A,N/A,"seattle wa dec 2022 - jesus loves you! https://t.co/eto0mmcfqh 

#seattle #seattlewa #seattlechurch #revivalinseattle https://t.co/78fx5tzney",Twitter User @Jerry_Fussell,"['seattle', 'seattlewa', 'seattlechurch', 'revivalinseattle']"
143,Seattle,N/A,N/A,N/A,N/A,N/A,"i'm really looking forward to giving an online talk about time for the national nordic museum, seattle, on 14 january (@thenordicmuseum). it would be great to see you if you fancied tuning in. bookings are open here:

https://t.co/nme6ii21ce",Twitter User @rooneyvision,[]
144,Seattle,N/A,N/A,N/A,N/A,N/A,"✨ ia west and psrf invite you to some holiday fun in seattle featuring delicious food, and wine. join industry peers for the festivity! ✨ #insightsmrx &gt;&gt; https://t.co/gk6vsbi3mx",Twitter User @InsightsMRX,['insightsmrx']
145,Seattle,N/A,N/A,N/A,N/A,N/A,"a @xflseadragons fan in seattle has purchased his own mascot suit.
he has now made appearances at 2 team sponsored events.
so far he is un-named. i propose that he is called ""buff the mighty dragon.""
both kids and adults love him.
hopefully @xfl2023 encourages him to continue. https://t.co/j7siduaqpj",Twitter User @Vanster2000,[]
146,Seattle,N/A,N/A,N/A,N/A,N/A,"to all of the family caregivers for alzheimer's disease, we honor and thank you! check out this appreciation page alzheimer's association where join in honoring the millions of family members and friends serving as alzheimer's caregivers: https://t.co/kt79tti8jn https://t.co/d5lgzm7ai0",Twitter User @RAH_SEATTLE,[]
147,Seattle,N/A,N/A,N/A,N/A,N/A,register for virtual camp united nations for girls on dec 11. delegates learn about int'l politics &amp; the work of the un then convene a general assembly to pass a resolution. tickets ➡️ https://t.co/wf2x4nlhnn #seattle #losangeles #tucson #dallas #newyork #boston #charlotte #dc,Twitter User @GirlsinPolitics,"['seattle', 'losangeles', 'tucson', 'dallas', 'newyork', 'boston', 'charlotte', 'dc']"
148,Seattle,N/A,N/A,N/A,N/A,N/A,"hiring alert: licensed optician (#seattle, washington) vista optical in select fredmeyer stores #job #contactlens #dispensingglasses #opticalknowledge #prescriptiondispensing #policydevelopment #merchandising #events #inventorymanagement #sales https://t.co/gvxoc30vqi https://t.co/a7oy8ioi6b",Twitter User @iHireJobAlerts,"['seattle', 'job', 'contactlens', 'dispensingglasses', 'opticalknowledge', 'prescriptiondispensing', 'policydevelopment', 'merchandising', 'events', 'inventorymanagement', 'sales']"
149,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @johnjmorris: perrottet needs to go, but minn's labor no guarantee-as andrews, palaszczuk, albanese all show 

unions ""must"" keep their…",Twitter User @soli_aus,[]
150,Seattle,N/A,N/A,N/A,N/A,N/A,"perrottet needs to go, but minn's labor no guarantee-as andrews, palaszczuk, albanese all show 

unions ""must"" keep their independence and central strength-industrial action,not just handing out ""how to votes""

seattle teachers win through direct action- 
https://t.co/hsoieudc6y https://t.co/epvulggsrv",Twitter User @johnjmorris,[]
151,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aewlive: #aew is making its seattle debut! be at the @climatearena wednesday, january 4th, 2023 for #aewdynamite live!

tickets starti…",Twitter User @AndrewC_1999,"['aew', 'aewdynamite']"
152,Seattle,N/A,N/A,N/A,N/A,N/A,rt @davidsacks: “all the world events we didn’t make public”. what’s @biz talking about? @mtaibbi @bariweiss,Twitter User @Josh__Seattle,[]
153,Seattle,N/A,N/A,N/A,N/A,N/A,"❄️ poll for 2023 events ❄️

reply with your favorite bubble tea and dessert places in seattle and the surrounding area! 

our main criteria is tasty drinks and pretty decor 

all your suggestions will be considered for 2023 events!",Twitter User @seattleboba,[]
